operation,year,sample_label,date,julian_day,leg,lat_deg,lat_min,lat_ns,long_deg,long_min,long_EW,station,ctd,bottle,sample_code,sample_type,depth_level,depth_m,snow_cover,fsw_added_mL,total_volume_after_melting_mL,ice_corrected,sampling_person,sampling_comment,fcm_instrument,fcm_operator,file_fluo_nat,Syn_mL,Pico_mL,Pico_FSC,Pico_SSC,Pico_Chl,Nano_mL,Nano_FSC,Nano_SSC,Nano_Chl,Crypto_mL,Crypto_FSC,Crypto_SSC,Crypto_PE,Crypto_Chl,file_bact,HBact_mL,HBact_SSC,HBact_DNA,LBact_mL,LBact_SSC,LBact_DNA,Bact_mL
Ice camp,2015,IC2015_91_20m,2015-04-01,91,1,67,28.774,N,63,47.398,W,,,,,water,20,20,,,,,Flavienne,"Glace non fondue après 72h (jetée) , la prochaine fois mettre la glace plus au chaud / CTD #3 ",FACS Canto,M. Tragin,,,,,,,,,,,,,,,,,,,,,,,
Ice camp,2015,IC2015_91_Surface,2015-04-03,91,1,67,28.774,N,63,47.398,W,,,,,water,surface,0,,,,,Flavienne,"Glace non fondue après 72h (jetée) , la prochaine fois mettre la glace plus au chaud / CTD #3 ",FACS Canto,M. Tragin,,,,,,,,,,,,,,,,,,,,,,,
Ice camp,2015,IC2015_93_5m,2015-04-03,93,1,67,28.774,N,63,47.398,W,,,,,water,5,5,,,,,Flavienne,Ajouté 4000 mL EDMF à la glace (2 carottes 10cm),FACS Canto,M. Tragin,93_5m,,30,227.23,37.415,4.235,40,1902.159,156.697,1242.41,0,,,,,GE15b_93_5m,108776,0.04,0.328,73750,0.011,0.056,182526
Ice camp,2015,IC2015_93,2015-04-06,93,1,67,28.774,N,63,47.398,W,,,,,ice,unknown,,,4000,10510,yes,Flavienne,"Je ne vois pas où est marqué ce volume total, ce volume EDMF ajouté et la profondeur de l'échantilon dans le cahier / Reste volume 3730mL soit volume total=6780 ",FACS Canto,M. Tragin,93_glace,,0,,,,1571,1381.749,85.442,764.482,0,,,,,GE15b_93_glace,967940,0.096,0.807,0,,,967940
Ice camp,2015,IC2015_96_5m,2015-04-06,96,1,67,28.774,N,63,47.398,W,,,,,water,5,5,,,,,Flavienne,Ajouté 4000 mL EDMF à la glace,FACS Canto,M. Tragin,96_eau,,44,21.503,1.982,53.692,27,231.309,47.671,424.245,0,,,,,GE15b_96_eau,91078,0.05,0.335,77853,0.011,0.046,168931
Ice camp,2015,IC2015_96,2015-04-09,96,1,67,28.774,N,63,47.398,W,,,,,ice,unknown,,,4000,6095,yes,Flavienne,Je ne vois pas où est marqué ce volume EDMF ajouté et la profondeur de l'échantilon dans le cahier / Reste volume 3010mL (+3085mL utilisé) / Volume total Eau+Glace=6095mL ,FACS Canto,M. Tragin,96_glace,,0,,,,3262,1891.628,161.652,1568.422,0,,,,,GE15b_96_glace,838407,0.095,0.733,0,,,838407
Ice camp,2015,IC2015_99_5m,2015-04-09,99,1,67,28.774,N,63,47.398,W,,,,,water,5,5,,,,,A. LeBaron,Ajouté 3L d'EDMF aux carottes de glace / Salinity of EDMF = 24.2g/L at 18.1°C ,FACS Canto,M. Tragin,99_eau,,37,46.459,7.79,63.475,47,839.404,136.518,588.822,0,,,,,GE15b_99_eau,149767,0.061,0.349,61121,0.011,0.041,210888
Ice camp,2015,IC2015_99,2015-04-12,99,1,67,28.774,N,63,47.398,W,,,,,ice,unknown,,,3000,5580,yes,Flavienne,,FACS Canto,M. Tragin,99_glace,,0,,,,3160,2339.331,135.696,1455.875,0,,,,,GE15b_99_glace,164987,0.094,0.7,0,,,164987
Ice camp,2015,IC2015_102_5m,2015-04-12,102,1,67,28.774,N,63,47.398,W,,,,,water,5,5,,,,,Flavienne,,FACS Canto,M. Tragin,102_5m,,74,74.095,11.826,34.834,71,330.383,11.961,444.129,0,,,,,GE15b_102_5m,123862,0.086,0.309,71207,0.011,0.041,195069
Ice camp,2015,IC2015_102_20m,2015-04-12,102,1,67,28.774,N,63,47.398,W,,,,,water,20,20,,,,,Flavienne,,FACS Canto,M. Tragin,102_20m,,77,91.154,6.922,60.914,34,395.843,16.213,781.587,0,,,,,GE15b_102_20m,109888,0.066,0.291,67017,0.01,0.042,176905
Ice camp,2015,IC2015_102,2015-04-14,102,1,67,28.774,N,63,47.398,W,,,,,ice,unknown,,,3000,5840,yes,A. LeBaron,,FACS Canto,M. Tragin,102_glace,,0,,,,4687,1653.882,108.047,1119.729,0,,,,,GE15b_102_glace,164418,0.169,0.792,0,,,164418
Ice camp,2015,IC2015_104_5m,2015-04-14,104,1,67,28.774,N,63,47.398,W,,,,,water,5,5,,,,,A. LeBaron,,FACS Canto,M. Tragin,104_5m,,74,8.806,0.704,63.052,84,385.575,17.002,883.737,0,,,,,GE15b_104_5m,116560,0.056,0.289,68629,0.01,0.038,185190
Ice camp,2015,IC2015_104_20m,2015-04-14,104,1,67,28.774,N,63,47.398,W,,,,,water,20,20,,,,,A. LeBaron,,FACS Canto,M. Tragin,104_20m,,61,187.261,43.607,43.835,40,1524.354,159.795,770.941,0,,,,,GE15b_104_20m,136991,0.042,0.222,29862,0.009,0.036,166853
Ice camp,2015,IC2015_104_65m,2015-04-14,104,1,67,28.774,N,63,47.398,W,,,,,water,65,65,,,,,A. LeBaron,,FACS Canto,M. Tragin,104_65m,,40,17.755,1.53,23.5,27,360.783,18.37,276.207,0,,,,,GE15b_104_65m,95517,0.056,0.246,60017,0.01,0.038,155534
Ice camp,2015,IC2015_104,2015-04-16,104,1,67,28.774,N,63,47.398,W,,,,,ice,unknown,,,3050,5100,yes,A. LeBaron,,FACS Canto,M. Tragin,104_glace,,0,,,,8862,2019.013,149.213,1576.384,0,,,,,GE15b_104_glace,530503,0.184,1.005,0,,,530503
Ice camp,2015,IC2015_106_5m,2015-04-16,106,1,67,28.774,N,63,47.398,W,,,,,water,5,5,,,,,A. LeBaron,,FACS Canto,M. Tragin,106_5m,,135,90.933,9.049,45.625,71,916.511,52.45,1253.519,0,,,,,GE15b_106_5m,109276,0.061,0.264,63293,0.01,0.039,172569
Ice camp,2015,IC2015_106_20m,2015-04-16,106,1,67,28.774,N,63,47.398,W,,,,,water,20,20,,,,,A. LeBaron,,FACS Canto,M. Tragin,106_20m,,64,65.502,12.471,53.562,34,1019.12,227.56,1240.538,0,,,,,GE15b_106_20m,120388,0.058,0.283,57534,0.01,0.041,177922
Ice camp,2015,IC2015_106,2015-04-18,106,1,67,28.774,N,63,47.398,W,,,,,ice,unknown,,,3100,5530,yes,A. LeBaron,,FACS Canto,M. Tragin,106_glace,,0,,,,3211,1384.564,118.477,1243.985,0,,,,,GE15b_106_glace,407923,0.155,0.971,0,,,407923
Ice camp,2015,IC2015_108_1m,2015-04-18,108,1,67,28.774,N,63,47.398,W,,,,,water,1.5,1.5,,,,,A. LeBaron,"Pico-no- ID1m, mais échantillon provent de 1,5m",FACS Canto,M. Tragin,108_1m,,61,49.106,4.112,57.356,84,720.23,61.683,1375.658,0,,,,,GE15b_108_1m,58602,0.05,0.124,34873,0.014,0.029,93475
Ice camp,2015,IC2015_108_5m,2015-04-18,108,1,67,28.774,N,63,47.398,W,,,,,water,5,5,,,,,A. LeBaron,,FACS Canto,M. Tragin,108_5m,,78,46.335,3.118,52.051,65,705.199,124.869,1989.173,0,,,,,GE15b_108_5m,88915,0.044,0.145,25449,0.011,0.022,114364
Ice camp,2015,IC2015_108_20m,2015-04-18,108,1,67,28.774,N,63,47.398,W,,,,,water,20,20,,,,,A. LeBaron,,FACS Canto,M. Tragin,108_20m,,78,65.199,30.93,49.64,61,1044.214,149.005,1696.456,0,,,,,GE15b_108_20m,70737,0.049,0.129,37373,0.012,0.028,108110
Ice camp,2015,IC2015_108,2015-04-20,108,1,67,28.774,N,63,47.398,W,,,,,ice,unknown,,,3000,5430,yes,,,FACS Canto,M. Tragin,108_glace,,0,,,,9987,1729.438,122.608,1627.743,0,,,,,GE15b_108_glace,594054,0.174,0.988,0,,,594054
Ice camp,2015,IC2015_110_1m,2015-04-20,110,2,67,28.774,N,63,47.398,W,,,,,water,1.5,1.5,,,,,A. LeBaron,,FACS Canto,M. Tragin,110_1m,,94,17.447,0.979,69.203,120,812.337,83.459,1333.917,0,,,,,GE15b_110_1m,116525,0.066,0.183,43373,0.012,0.025,159898
Ice camp,2015,IC2015_110_5m,2015-04-20,110,2,67,28.774,N,63,47.398,W,,,,,water,5,5,,,,,A. LeBaron,,FACS Canto,M. Tragin,110_5m,,87,76.379,6.837,36.266,123,556.956,65.621,852.634,0,,,,,GE15b_110_5m,119441,0.062,0.191,60720,0.011,0.021,180161
Ice camp,2015,IC2015_110_20m,2015-04-20,110,2,67,28.774,N,63,47.398,W,,,,,water,20,20,,,,,A. LeBaron,,FACS Canto,M. Tragin,110_20m,,49,13.508,0.673,32.083,71,642.544,82.621,633.678,0,,,,,GE15b_110_20m,119559,0.057,0.182,71186,0.027,0.022,190746
Ice camp,2015,IC2015_110_40m,2015-04-20,110,2,67,28.774,N,63,47.398,W,,,,,water,40,40,,,,,A. LeBaron,,FACS Canto,M. Tragin,110_40m,,42,11.29,1.636,44.243,39,63.699,5.456,185.949,0,,,,,GE15b_110_40m,130407,0.046,0.204,64669,0.018,0.022,195076
Ice camp,2015,IC2015_110_60m,2015-04-20,110,2,67,28.774,N,63,47.398,W,,,,,water,60,60,,,,,A. LeBaron,,FACS Canto,M. Tragin,110_60m,,49,28.153,3.285,20.453,39,1070.723,77.557,834.791,0,,,,,GE15b_110_60m,112831,0.052,0.183,63831,0.01,0.021,176661
Ice camp,2015,IC2015_110_0-3,2015-04-20,110,2,67,28.774,N,63,47.398,W,,,,,ice,0-3 cm,,,1500,2735,yes,A. LeBaron,,FACS Canto,M. Tragin,110_0-3,,0,,,,15194,2259.218,155.095,2158.75,0,,,,,GE15b_110_0-3,404667,0.157,0.42,0,,,404667
Ice camp,2015,IC2015_110_3-10,2015-04-22,110,2,67,28.774,N,63,47.398,W,,,,,ice,3-10 cm,,,3000,5680,yes,A. LeBaron,,FACS Canto,M. Tragin,110_3-10,,0,,,,1619,1021.707,78.635,873.314,0,,,,,GE15b_110_3-10,398358,0.114,0.471,0,,,398358
Ice camp,2015,IC2015_112_1m,2015-04-22,112,2,67,28.774,N,63,47.398,W,,,,,water,1.5,1.5,,,,,A. LeBaron,,FACS Canto,M. Tragin,112_1m,,81,57.739,1.501,38.783,204,348.005,19.059,897.48,0,,,,,GE15b_112_1m,107949,0.034,0.136,42254,0.009,0.017,150203
Ice camp,2015,IC2015_112_5m,2015-04-22,112,2,67,28.774,N,63,47.398,W,,,,,water,5,5,,,,,A. LeBaron,,FACS Canto,M. Tragin,112_5m,,58,106.092,4.876,40.987,230,523.725,40.682,807.905,0,,,,,GE15b_112_5m,35619,0.048,0.099,42610,0.012,0.025,78229
Ice camp,2015,IC2015_112_20m,2015-04-22,112,2,67,28.774,N,63,47.398,W,,,,,water,20,20,,,,,A. LeBaron,,FACS Canto,M. Tragin,112_20m,,45,36.588,2.754,41.683,94,318.813,10.902,944.662,0,,,,,GE15b_112_20m,66305,0.046,0.077,40186,0.01,0.017,106492
Ice camp,2015,IC2015_112_40m,2015-04-22,112,2,67,28.774,N,63,47.398,W,,,,,water,40,40,,,,,A. LeBaron,,FACS Canto,M. Tragin,112_40m,,84,115.296,9.795,27.973,81,925.99,34.261,1187.578,0,,,,,GE15b_112_40m,93271,0.046,0.246,38814,0.01,0.029,132085
Ice camp,2015,IC2015_112_60m,2015-04-22,112,2,67,28.774,N,63,47.398,W,,,,,water,60,60,,,,,A. LeBaron,,FACS Canto,M. Tragin,112_60m,,13,3.995,1.135,31.922,42,359.796,124.653,546.13,0,,,,,GE15b_112_60m,87847,0.041,0.114,32839,0.009,0.016,120686
Ice camp,2015,IC2015_112_0-3,2015-04-22,112,2,67,28.774,N,63,47.398,W,,,,,ice,0-3 cm,,,1500,2775,yes,A. LeBaron,,FACS Canto,M. Tragin,112_0-3,,0,,,,12862,1961.636,130.529,2056.329,0,,,,,GE15b_112_0-3,320513,0.161,0.607,0,,,320513
Ice camp,2015,IC2015_112_3-10,2015-04-24,112,2,67,28.774,N,63,47.398,W,,,,,ice,3-10 cm,,,3000,5600,yes,A. LeBaron,,FACS Canto,M. Tragin,112_3-10,,0,,,,2307,1091.61,79.098,1058.63,0,,,,,GE15b_112_3-10,199066,0.106,0.509,0,,,199066
Ice camp,2015,IC2015_114_1m,2015-04-24,114,2,67,28.774,N,63,47.398,W,,,,,water,1.5,1.5,,,,,A. LeBaron,Manquant,FACS Canto,M. Tragin,,,,,,,,,,,,,,,,,,,,,,,
Ice camp,2015,IC2015_114_5m,2015-04-24,114,2,67,28.774,N,63,47.398,W,,,,,water,5,5,,,,,A. LeBaron,,FACS Canto,M. Tragin,114_5m,,136,32.16,4.097,43.219,307,363.78,61.995,982.7,0,,,,,GE15b_114_5m,54788,0.057,0.068,27263,0.01,0.015,82051
Ice camp,2015,IC2015_114_20m,2015-04-24,114,2,67,28.774,N,63,47.398,W,,,,,water,20,20,,,,,A. LeBaron,,FACS Canto,M. Tragin,114_20m,,71,203.966,9.295,47.189,142,190.397,40.942,641.092,0,,,,,GE15b_114_20m,39288,0.072,0.062,24517,0.011,0.015,63805
Ice camp,2015,IC2015_114_40m,2015-04-24,114,2,67,28.774,N,63,47.398,W,,,,,water,40,40,,,,,A. LeBaron,,FACS Canto,M. Tragin,114_40m,,45,20.914,5.732,53.156,81,864.05,75.573,935.616,0,,,,,GE15b_114_40m,103373,0.04,0.094,39881,0.009,0.014,143254
Ice camp,2015,IC2015_114_60m,2015-04-24,114,2,67,28.774,N,63,47.398,W,,,,,water,60,60,,,,,A. LeBaron,,FACS Canto,M. Tragin,114_60m,,42,36.811,5.883,45.032,32,233.093,6.082,628.054,0,,,,,GE15b_114_60m,102356,0.039,0.103,44678,0.008,0.014,147034
Ice camp,2015,IC2015_114_0-3HS,2015-04-24,114,2,67,28.774,N,63,47.398,W,,,,,ice,0-3 cm,,high,2400,,,,,FACS Canto,M. Tragin,114_0-3HS,,0,,,,17317,2586.703,253.304,1563.093,0,,,,,GE15b_114_3-10,144449,0.121,0.22,0,,,144449
Ice camp,2015,IC2015_114_0-3LS,2015-04-24,114,2,67,28.774,N,63,47.398,W,,,,,ice,0-3 cm,,low,2400,,,,,FACS Canto,M. Tragin,114_0-3,,0,,,,8838,2919.973,211.88,2439.001,0,,,,,GE15b_114_0-3,94331,0.185,0.051,0,,,94331
Ice camp,2015,IC2015_114_3-10LS,2015-04-26,114,2,67,28.774,N,63,47.398,W,,,,,ice,3-10 cm,,low,6000,8170,yes,,,FACS Canto,M. Tragin,114_3-10,,0,,,,3497,2625.292,209.258,1401.832,0,,,,,GE15b_114_0-3HS,540242,0.13,0.18,0,,,540242
Ice camp,2015,IC2015_116_1m,2015-04-26,116,2,67,28.774,N,63,47.398,W,,,,,water,1.5,1.5,,,,,,,FACS Canto,M. Tragin,116_1m,,175,41.67,4.73,49.685,379,669.133,65.091,756.018,0,,,,,GE15b_116_1m,64525,0.07,0.073,31703,0.013,0.014,96229
Ice camp,2015,IC2015_116_5m,2015-04-26,116,2,67,28.774,N,63,47.398,W,,,,,water,5,5,,,,,,,FACS Canto,M. Tragin,116_5m,,214,29.129,10.518,45.596,362,283.675,18.383,624.842,0,,,,,GE15b_116_5m,101314,0.041,0.102,42237,0.009,0.014,143551
Ice camp,2015,IC2015_116_20m,2015-04-26,116,2,67,28.774,N,63,47.398,W,,,,,water,20,20,,,,,,,FACS Canto,M. Tragin,116_20m,,81,84.559,4.555,53.8,84,1365.591,58.763,744.261,0,,,,,GE15b_116_20m,88754,0.04,0.088,36932,0.009,0.014,125686
Ice camp,2015,IC2015_116_40m,2015-04-26,116,2,67,28.774,N,63,47.398,W,,,,,water,40,40,,,,,,,FACS Canto,M. Tragin,116_40m,,45,253.731,15.793,25.947,39,532.657,101.854,735.657,0,,,,,GE15b_116_40m,92864,0.046,0.097,38602,0.009,0.014,131466
Ice camp,2015,IC2015_116_60m,2015-04-26,116,2,67,28.774,N,63,47.398,W,,,,,water,60,60,,,,,,,FACS Canto,M. Tragin,116_60m,,26,11.404,0.553,47.871,23,1709.02,130.772,1247.54,0,,,,,GE15b_116_60m,90381,0.039,0.098,37593,0.009,0.014,127975
Ice camp,2015,IC2015_116_0-3HS,2015-04-26,116,2,67,28.774,N,63,47.398,W,,,,,ice,0-3 cm,,high,2600,3340,yes,A. LeBaron,,FACS Canto,M. Tragin,GE15f_116_0-3HS,,6337,30.851,1.228,89.352,29543,1874.758,150.71,3000.918,2568,5210.688,603.311,8.311,5348.081,GE15b_116_0-3HS,676683,0.183,1.925,0,,,676683
Ice camp,2015,IC2015_116_0-3LS,2015-04-26,116,2,67,28.774,N,63,47.398,W,,,,,ice,0-3 cm,,low,2600,3450,yes,A. LeBaron,,FACS Canto,M. Tragin,GE15f_116_0-3LS,,17916,24.724,1.228,59.676,60254,1493.097,174.028,1700.339,9908,3902.66,574.717,7.977,4506.032,GE15b_116_0-3LS,386758,0.299,3.183,0,,,386758
Ice camp,2015,IC2015_116_3-10HS,2015-04-26,116,2,67,28.774,N,63,47.398,W,,,,,ice,3-10 cm,,high,6100,8850,yes,A. LeBaron,,FACS Canto,M. Tragin,GE15f_116_3-10HS,,596,41.995,1.308,63.417,3803,1139.633,65.833,1933.558,173,3396.427,391.537,5.711,3561.735,GE15b_116_3-10HS,85009,0.056,0.643,119727,0.009,0.039,204736
Ice camp,2015,IC2015_116_3-10LS,2015-04-26,116,2,67,28.774,N,63,47.398,W,,,,,ice,3-10 cm,,low,6100,8000,yes,A. LeBaron,"Pico-no-échantillon retrouvé sans bouchon lors du tri, bouchon remis en place",FACS Canto,M. Tragin,GE15f_116_3-10LS,,652,53.257,1.861,88.883,3856,1950.216,133.336,2209.894,156,5022.992,519.633,6.317,3008.538,GE15b_116_3-10LS,82855,0.051,0.662,44282,0.008,0.04,127136
Ice camp,2015,IC2015_118_1m,2015-04-28,118,2,67,28.774,N,63,47.398,W,,,,,water,1.5,1.5,,,,,A. LeBaron,,FACS Canto,M. Tragin,GE15f_118_1m,,519,18.17,0.753,141.137,303,883.386,37.217,1596.435,7,683.269,384.893,25.443,3070.164,GE15b_118_1m,136992,0.019,0.3,70992,0.01,0.053,207983
