Cruise,Station ,latitude,longitude,Depth,CTD,Niskin,Date,BP_ugC_L_d,BP Fraction <1µm _µgC.l-1d-1
GreenEdge,G100,68.48,-56.78,5,4,17,2016-06-09,0.4544,
GreenEdge,G100,68.48,-56.78,30,4,13,2016-06-09,0.3957,
GreenEdge,G100,68.48,-56.78,40,4,10,2016-06-09,0.1172,
GreenEdge,G100,68.48,-56.78,55,4,6,2016-06-09,0.1395,
GreenEdge,G100,68.48,-56.78,200,4,2,2016-06-09,0.0239,
GreenEdge,G100,68.48,-56.78,350,4,1,2016-06-09,0.0165,
GreenEdge,G102,68.48,-57.46,5,7,20,2016-06-10,0.8892,
GreenEdge,G102,68.48,-57.46,15,7,18,2016-06-10,0.7313,
GreenEdge,G102,68.48,-57.46,20,7,16,2016-06-10,0.8639,
GreenEdge,G102,68.48,-57.46,30,7,14,2016-06-10,0.8725,
GreenEdge,G102,68.48,-57.46,40,7,11,2016-06-10,0.3936,0.0026
GreenEdge,G102,68.48,-57.46,60,7,8,2016-06-10,0.1006,0.0074
GreenEdge,G102,68.48,-57.46,100,7,5,2016-06-10,0.0342,
GreenEdge,G102,68.48,-57.46,350,7,1,2016-06-10,0.0134,
GreenEdge,G107,68.48,-59.18,0,13,20,2016-06-11,0.7395,
GreenEdge,G107,68.48,-59.18,10,13,18,2016-06-11,0.5387,
GreenEdge,G107,68.48,-59.18,15,13,16,2016-06-11,0.5157,0.0447
GreenEdge,G107,68.48,-59.18,23,13,14,2016-06-11,0.128,0.0272
GreenEdge,G107,68.48,-59.18,33,13,8,2016-06-11,0.0698,
GreenEdge,G107,68.48,-59.18,60,13,5,2016-06-11,0.0362,
GreenEdge,G107,68.48,-59.18,150,13,3,2016-06-11,0.0071,
GreenEdge,G107,68.48,-59.18,200,13,1,2016-06-11,0.005,
GreenEdge,G110,68.53,-60.13,0,18,19,2016-06-12,0.1365,0.0157
GreenEdge,G110,68.53,-60.13,12,18,17,2016-06-12,0.198,
GreenEdge,G110,68.53,-60.13,20,18,15,2016-06-12,0.1655,0.0187
GreenEdge,G110,68.53,-60.13,32,18,13,2016-06-12,0.0727,
GreenEdge,G110,68.53,-60.13,45,18,7,2016-06-12,0.0369,
GreenEdge,G110,68.53,-60.13,80,18,5,2016-06-12,0.0061,
GreenEdge,G110,68.53,-60.13,150,18,3,2016-06-12,0.002,
GreenEdge,G110,68.53,-60.13,350,18,1,2016-06-12,0.0026,
GreenEdge,G115,68.45,-61.35,0,25,21,2016-06-13,0.1167,0.0236
GreenEdge,G115,68.45,-61.35,15,25,19,2016-06-13,0.0563,
GreenEdge,G115,68.45,-61.35,25,25,17,2016-06-13,0.047,0.0206
GreenEdge,G115,68.45,-61.35,40,25,13,2016-06-13,0.0087,0.0049
GreenEdge,G115,68.45,-61.35,49,25,10,2016-06-13,0.0044,
GreenEdge,G115,68.45,-61.35,57,25,7,2016-06-13,0.0059,
GreenEdge,G115,68.45,-61.35,150,25,4,2016-06-13,0.0039,
GreenEdge,G115,68.45,-61.35,350,25,1,2016-06-13,0.0016,
GreenEdge,G201,68.63,-59.91,0,29,19,2016-06-14,0.2722,
GreenEdge,G201,68.63,-59.91,15,29,16,2016-06-14,0.1894,
GreenEdge,G201,68.63,-59.91,25,29,11,2016-06-14,0.166,
GreenEdge,G201,68.63,-59.91,32,29,8,2016-06-14,0.1595,
GreenEdge,G201,68.63,-59.91,46,29,4,2016-06-14,0.0309,
GreenEdge,G201,68.63,-59.91,150,29,2,2016-06-14,-0.0005,
GreenEdge,G201,68.63,-59.91,350,29,1,2016-06-14,0.0043,
GreenEdge,G204,68.7,-59.25,0,34,20,2016-06-15,0.5533,
GreenEdge,G204,68.7,-59.25,13,34,18,2016-06-15,0.4979,
GreenEdge,G204,68.7,-59.25,20,34,15,2016-06-15,0.3164,
GreenEdge,G204,68.7,-59.25,29,34,10,2016-06-15,0.1329,
GreenEdge,G204,68.7,-59.25,50,34,7,2016-06-15,0.056,
GreenEdge,G204,68.7,-59.25,80,34,5,2016-06-15,0.0101,
GreenEdge,G204,68.7,-59.25,150,34,3,2016-06-15,0.0063,
GreenEdge,G204,68.7,-59.25,350,34,1,2016-06-15,0.0058,
GreenEdge,G207,68.78,-58.52,0,40,20,2016-06-16,0.6145,0.0144
GreenEdge,G207,68.78,-58.52,15,40,18,2016-06-16,0.6038,0.0399
GreenEdge,G207,68.78,-58.52,19,40,13,2016-06-16,0.301,
GreenEdge,G207,68.78,-58.52,29,40,9,2016-06-16,0.1242,0.0067
GreenEdge,G207,68.78,-58.52,37,40,8,2016-06-16,0.0882,
GreenEdge,G207,68.78,-58.52,50,40,7,2016-06-16,0.0347,
GreenEdge,G207,68.78,-58.52,80,40,5,2016-06-16,0.0073,
GreenEdge,G207,68.78,-58.52,150,40,3,2016-06-16,0.0043,
GreenEdge,G300,68.98,-56.76,0,49,21,2016-06-17,1.2109,0.0324
GreenEdge,G300,68.98,-56.76,15,49,19,2016-06-17,1.5114,
GreenEdge,G300,68.98,-56.76,26,49,17,2016-06-17,1.4453,
GreenEdge,G300,68.98,-56.76,47,49,13,2016-06-17,0.4011,0.0175
GreenEdge,G300,68.98,-56.76,64,49,8,2016-06-17,0.215,
GreenEdge,G300,68.98,-56.76,75,49,7,2016-06-17,0.0546,
GreenEdge,G300,68.98,-56.76,120,49,3,2016-06-17,0.037,-0.0038
GreenEdge,G309,69,-58.73,0,58,21,2016-06-18,0.2351,0.0365
GreenEdge,G309,69,-58.73,13,58,19,2016-06-18,0.3852,
GreenEdge,G309,69,-58.73,15,58,17,2016-06-18,0.1693,0.0319
GreenEdge,G309,69,-58.73,20,58,13,2016-06-18,0.2754,0.0085
GreenEdge,G309,69,-58.73,38,58,8,2016-06-18,0.1415,
GreenEdge,G309,69,-58.73,50,58,6,2016-06-18,0.1086,
GreenEdge,G309,69,-58.73,80,58,3,2016-06-18,0.0602,
GreenEdge,G309,69,-58.73,300,58,1,2016-06-18,0.0072,
GreenEdge,G312,69,-59.56,0,66,21,2016-06-19,1.2755,
GreenEdge,G312,69,-59.56,11,66,19,2016-06-19,0.9284,
GreenEdge,G312,69,-59.56,18,66,17,2016-06-19,0.5849,
GreenEdge,G312,69,-59.56,28,66,13,2016-06-19,0.3526,
GreenEdge,G312,69,-59.56,54,66,8,2016-06-19,0.1234,
GreenEdge,G312,69,-59.56,85,66,5,2016-06-19,0.0416,
GreenEdge,G312,69,-59.56,150,66,3,2016-06-19,0.0103,
GreenEdge,G312,69,-59.56,350,66,1,2016-06-19,0.0043,
GreenEdge,G318,69,-59.95,0,73,21,2016-06-20,0.1413,0.085
GreenEdge,G318,69,-59.95,12,73,19,2016-06-20,0.11,
GreenEdge,G318,69,-59.95,19,73,17,2016-06-20,0.0589,0.036
GreenEdge,G318,69,-59.95,30,73,13,2016-06-20,0.0269,
GreenEdge,G318,69,-59.95,43,73,11,2016-06-20,0.0247,
GreenEdge,G318,69,-59.95,59,73,8,2016-06-20,0.028,
GreenEdge,G318,69,-59.95,150,73,4,2016-06-20,0.0059,
GreenEdge,G318,69,-59.95,250,73,2,2016-06-20,0.0013,
GreenEdge,G324,68.95,-62.32,0,81,21,2016-06-21,0.2699,0.0474
GreenEdge,G324,68.95,-62.32,12,81,19,2016-06-21,0.2426,
GreenEdge,G324,68.95,-62.32,20,81,17,2016-06-21,0.1515,
GreenEdge,G324,68.95,-62.32,31,81,13,2016-06-21,0.0502,0.0203
GreenEdge,G324,68.95,-62.32,39,81,11,2016-06-21,0.0206,
GreenEdge,G324,68.95,-62.32,60,81,8,2016-06-21,0.0964,
GreenEdge,G324,68.95,-62.32,150,81,4,2016-06-21,0.0085,
GreenEdge,G324,68.95,-62.32,350,81,1,2016-06-21,0.0021,
GreenEdge,G403,68.08,-61.58,0,90,21,2016-06-25,0.0678,0.0454
GreenEdge,G403,68.08,-61.58,7,90,19,2016-06-25,0.0483,
GreenEdge,G403,68.08,-61.58,15,90,16,2016-06-25,0.0171,
GreenEdge,G403,68.08,-61.58,24,90,13,2016-06-25,0.0114,
GreenEdge,G403,68.08,-61.58,55,90,8,2016-06-25,0.012,
GreenEdge,G403,68.08,-61.58,150,90,5,2016-06-25,0.0139,
GreenEdge,G403,68.08,-61.58,350,90,1,2016-06-25,0.0038,
GreenEdge,G409,68.1,-59.98,0,98,20,2016-06-26,0.2888,0.0239
GreenEdge,G409,68.1,-59.98,6,98,19,2016-06-26,0.2025,
GreenEdge,G409,68.1,-59.98,11,98,16,2016-06-26,0.2355,0.0187
GreenEdge,G409,68.1,-59.98,29,98,13,2016-06-26,0.1024,
GreenEdge,G409,68.1,-59.98,42,98,8,2016-06-26,0.0543,
GreenEdge,G409,68.1,-59.98,75,98,6,2016-06-26,0.0148,
GreenEdge,G409,68.1,-59.98,150,98,4,2016-06-26,0.0109,
GreenEdge,G413,68.1,-58.95,0,108,21,2016-06-27,0.2179,0.0188
GreenEdge,G413,68.1,-58.95,7,108,19,2016-06-27,0.3281,
GreenEdge,G413,68.1,-58.95,15,108,16,2016-06-27,0.2379,
GreenEdge,G413,68.1,-58.95,22,108,14,2016-06-27,0.1808,
GreenEdge,G413,68.1,-58.95,30,108,13,2016-06-27,0.1093,0.0257
GreenEdge,G413,68.1,-58.95,50,108,8,2016-06-27,0.0475,
GreenEdge,G413,68.1,-58.95,75,108,7,2016-06-27,0.0182,
GreenEdge,G413,68.1,-58.95,150,108,5,2016-06-27,-0.0018,
GreenEdge,G418,68.1,-57.76,0,111,21,2016-06-28,0.0869,0.0131
GreenEdge,G418,68.1,-57.76,10,111,19,2016-06-28,0.1378,
GreenEdge,G418,68.1,-57.76,20,111,16,2016-06-28,0.2212,
GreenEdge,G418,68.1,-57.76,30,111,15,2016-06-28,0.1028,
GreenEdge,G418,68.1,-57.76,50,111,10,2016-06-28,0.1311,
GreenEdge,G418,68.1,-57.76,70,111,7,2016-06-28,0.0433,
GreenEdge,G418,68.1,-57.76,150,111,5,2016-06-28,-0.0046,
GreenEdge,G507,70,-59.11,0,124,21,2016-06-30,0.5182,0.0308
GreenEdge,G507,70,-59.11,5,124,16,2016-06-30,0.4733,
GreenEdge,G507,70,-59.11,12,124,15,2016-06-30,0.5919,0.0383
GreenEdge,G507,70,-59.11,20,124,11,2016-06-30,0.3323,0.0253
GreenEdge,G507,70,-59.11,30,124,9,2016-06-30,0.2307,
GreenEdge,G507,70,-59.11,50,124,8,2016-06-30,0.0802,
GreenEdge,G507,70,-59.11,70,124,7,2016-06-30,0.1038,
GreenEdge,G507,70,-59.11,150,124,4,2016-06-30,0.0328,
GreenEdge,G507,70,-59.11,220,124,2,2016-06-30,0.0266,
GreenEdge,G512,70,-60.38,0,135,21,2016-07-01,0.6531,0.0238
GreenEdge,G512,70,-60.38,5,135,18,2016-07-01,0.3116,
GreenEdge,G512,70,-60.38,10,135,15,2016-07-01,0.4449,
GreenEdge,G512,70,-60.38,15,135,14,2016-07-01,0.466,0.0288
GreenEdge,G512,70,-60.38,20,135,10,2016-07-01,0.3218,
GreenEdge,G512,70,-60.38,30,135,7,2016-07-01,0.1134,
GreenEdge,G512,70,-60.38,50,135,6,2016-07-01,0.0511,
