Julian Day,Date,Environment,Av_pmolLeu/L.h,SD,Av_ugC_L_d,SD
125,2016-05-04,Under-Ice,0.94,0.08,0.04,0
125,2016-05-04,1.5m,0.51,0.07,0.02,0
125,2016-05-04,5m,1.48,0.03,0.06,0
125,2016-05-04,10m,0.57,0.02,0.02,0
125,2016-05-04,20m,0.44,0.14,0.02,0.01
125,2016-05-04,40m,0.32,0,0.01,0
130,2016-05-09,Under-Ice,9.56,0.09,0.36,0
130,2016-05-09,1.5m,0.15,0.01,0.01,0
130,2016-05-09,5m,0.32,0.02,0.01,0
130,2016-05-09,10m,0.41,0.03,0.02,0
130,2016-05-09,20m,0.5,0,0.02,0
130,2016-05-09,40m,0.93,0.06,0.03,0
134,2016-05-13,Under-Ice,1.38,0.1,0.05,0
134,2016-05-13,1.5m,1.04,0.02,0.04,0
134,2016-05-13,5m,0.62,0.09,0.02,0
134,2016-05-13,10m,0.83,0.09,0.03,0
134,2016-05-13,20m,0.56,0.07,0.02,0
134,2016-05-13,40m,0.99,0.01,0.04,0
137,2016-05-16,Under-Ice,1.87,0.48,0.07,0.02
137,2016-05-16,1.5m,0.69,0.05,0.03,0
137,2016-05-16,5m,0.52,0.07,0.02,0
137,2016-05-16,10m,0.33,0.03,0.01,0
137,2016-05-16,20m,0.41,0.03,0.02,0
137,2016-05-16,40m,0.43,0.09,0.02,0
146,2016-05-25,1.5m,1.16,0.13,0.04,0
146,2016-05-25,5m,0.67,0.05,0.02,0
146,2016-05-25,10m,0.81,0.08,0.03,0
146,2016-05-25,20m,0.78,0.15,0.03,0.01
146,2016-05-25,40m,0.68,0.06,0.03,0
151,2016-05-30,1.5m,1.05,0.18,0.04,0.01
151,2016-05-30,5m,0.34,0.02,0.01,0
151,2016-05-30,10m,0.59,0.05,0.02,0
151,2016-05-30,20m,0.7,0.14,0.03,0.01
151,2016-05-30,40m,0.6,0.14,0.02,0.01
158,2016-06-06,1.5m,2.27,0.23,0.08,0.01
158,2016-06-06,5m,1.14,0.19,0.04,0.01
158,2016-06-06,10m,0.64,0.03,0.02,0
158,2016-06-06,20m,0.58,0.01,0.02,0
158,2016-06-06,40m,0.67,0.02,0.02,0
160,2016-06-08,Under-Ice,1.01,0.08,0.04,0
160,2016-06-08,1.5m,2.28,0.05,0.08,0
160,2016-06-08,5m,0.95,0.1,0.04,0
160,2016-06-08,10m,0.61,0.05,0.02,0
160,2016-06-08,20m,0.76,0.1,0.03,0
