Class,Species,Stage,Abundance,Size min (um),Size max(um),Size_min_mm,Size_max_mm,bodymass min(ugC.ind-1),bodymass max(ugC.ind-1),REF,Biomass min(ugC),Biomass max (ugC),Somme biomass per species(ugC),,Group,Respiration per stage (pgC.d-1),,Res_spe_max (pgC.d-1),Res_spe_min (pgC.d-1),,,,Res_group(pgC.m-2.d-1),,Res_group(gC.m-2.m-1),,,,14W-0.25*e0.0693*(T-20)*biomass,,,"Meloney and Field, 1989  table4"
LW,Aglantha digitale,NA,196.31,10.00,22.00,10.00,22.00,3.70E+02,4.10E+03,"Hopcroft et al., 2005",7.26E+04,8.05E+05,7.26E+04,8.05E+05,Carnivorous,1.87E+10,9.27E+08,1.87E+10,9.27E+08,,,,MAX,MIN,MAX,MIN,Mean,,,,,
LW,Boroecia maxima,NA,362.91,3.00,3.50,3.00,3.50,1.37E+02,1.97E+02,"Mumm, 1991",4.97E+04,5.92E+02,4.97E+04,5.92E+02,Omnivorous,1.77E+07,1.35E+09,1.77E+07,1.35E+09,,LW/EAST,CAR,2.78E+10,7.93E+09,8.35E-01,2.38E-01,5.37E-01,,,,,
LW,Calanus finmarchicus,Cii,838.10,730.00,1200.00,0.73,1.20,1.56E+00,9.20E+00,"Madsen et al., 2001",1.31E+03,7.71E+03,,,Calanus,7.04E+08,7.67E+07,,,,,CAL,1.18E+11,3.95E+10,3.53E+00,1.19E+00,2.36E+00,,,,,
LW,Calanus finmarchicus,Ciii,304.76,1000.00,1300.00,1.00,1.30,4.80E+00,1.22E+01,,1.46E+03,3.73E+03,,,Calanus,2.57E+08,7.98E+07,,,,,OMN,5.82E+11,2.49E+10,1.75E+01,7.48E-01,9.10E+00,,,,,
LW,Calanus finmarchicus,CV,1152.50,2000.00,3000.00,2.00,3.00,5.70E+01,2.42E+02,,6.56E+04,2.79E+05,,,Calanus,1.04E+10,1.70E+09,,,,,,,,2.18E+01,2.17E+00,,,,,,
LW,Calanus finmarchicus,F,1237.49,1860.00,3200.00,1.86,3.20,4.40E+01,3.05E+02,,5.44E+04,3.77E+05,,,Calanus,1.50E+10,1.33E+09,,,,UP/WEST,CAR,5.76E+10,1.47E+10,1.73E+00,4.41E-01,1.08E+00,,,,,
LW,Calanus finmarchicus,M,12.65,1950.00,2800.00,1.95,2.80,5.20E+01,1.89E+02,,6.58E+02,2.39E+03,,,Calanus,9.10E+07,1.81E+07,,,,,CAL,1.16E+11,5.72E+10,3.48E+00,1.72E+00,2.60E+00,,,,,
LW,Calanus finmarchicus,Total,3545.49,,,,,,,,,,1.23E+05,6.70E+05,,#DIV/0!,#DIV/0!,2.64E+10,3.20E+09,,,OMN,5.87E+11,4.00E+10,1.76E+01,1.20E+00,9.40E+00,,,,,
LW,Calanus glacialis,Ci,887.62,600.00,1000.00,0.60,1.00,8.13E-01,4.74E+00,"Forest et al., 2011",7.22E+02,4.21E+03,,,Calanus,4.53E+08,4.99E+07,,,,,,,,2.28E+01,3.36E+00,,,,,,
LW,Calanus glacialis,Cii,480.00,1100.00,1370.00,1.10,1.37,6.59E+00,1.41E+01,,3.16E+03,6.75E+03,,,Calanus,4.30E+08,1.67E+08,,,,,,,,,,,,,,,
LW,Calanus glacialis,Ciii,388.57,1400.00,2000.00,1.40,2.00,1.51E+01,5.19E+01,,5.89E+03,2.02E+04,,,Calanus,1.04E+09,2.24E+08,,,,,,,,,,,,,,,
LW,Calanus glacialis,CiV,76.19,2000.00,2700.00,2.00,2.70,5.19E+01,1.46E+02,,3.95E+03,1.11E+04,,,Calanus,4.24E+08,1.16E+08,,,,,,,,,,,,,,,
LW,Calanus glacialis,CV,14.48,2700.00,3500.00,2.70,3.50,1.46E+02,3.58E+02,,2.12E+03,5.18E+03,,,Calanus,1.52E+08,4.97E+07,,,,,,,,,,,,,,,
LW,Calanus glacialis,F,47.39,3400.00,4800.00,3.40,4.80,3.24E+02,1.07E+03,,1.54E+04,5.05E+04,,,Calanus,1.22E+09,2.74E+08,,,,,,,,,,,,,,,
LW,Calanus glacialis,Total,1894.25,,,,,,,,,,3.12E+04,9.79E+04,,#DIV/0!,#DIV/0!,3.72E+09,8.81E+08,,,,,,,,,,,,,
LW,Calanus hyperboreus,Ci,91.43,950.00,1500.00,0.95,1.50,6.19E+00,2.56E+01,"Forest et al., 2011",5.66E+02,2.34E+03,,,Calanus,1.51E+08,2.57E+07,,,,,,,,,,,,,,,
LW,Calanus hyperboreus,Cii,1805.71,1500.00,2600.00,1.50,2.60,2.56E+01,1.41E+02,,4.62E+04,2.55E+05,,,Calanus,1.16E+10,1.37E+09,,,,,,,,,,,,,,,
LW,Calanus hyperboreus,Ciii,3783.21,2600.00,3500.00,2.60,3.50,1.41E+02,3.56E+02,,5.34E+05,1.35E+06,,,Calanus,3.98E+10,1.26E+10,,,,,,,,,,,,,,,
LW,Calanus hyperboreus,CiV,249.60,3500.00,4200.00,3.50,4.20,3.56E+02,6.27E+02,,8.88E+04,1.56E+05,,,Calanus,3.68E+09,1.81E+09,,,,,,,,,,,,,,,
LW,Calanus hyperboreus,CV,746.51,4600.00,5400.00,4.60,5.40,8.31E+02,1.37E+03,,6.20E+05,1.02E+06,,,Calanus,1.94E+10,1.04E+10,,,,,,,,,,,,,,,
LW,Calanus hyperboreus,F,270.63,6600.00,7200.00,6.60,7.20,2.55E+03,3.34E+03,,6.90E+05,9.04E+05,,,Calanus,1.30E+10,9.27E+09,,,,,,,,,,,,,,,
LW,Calanus hyperboreus,Total,6947.09,,,,,,,,,,1.98E+06,3.68E+06,,#DIV/0!,#DIV/0!,8.76E+10,3.55E+10,,,,,,,,,,,,,
LW,Discoconchoecia elegans,NA,185.03,1.70,2.80,1.70,2.80,3.56E+01,1.16E+02,"Mumm, 1991",6.59E+03,2.15E+04,6.59E+03,2.15E+04,Omnivore,8.99E+08,2.05E+08,8.99E+08,2.05E+08,,,,,,,,,,,,,
LW,Eukrohnia hamata,NA,1006.85,11.69,11.69,11.69,11.69,2.04E+02,2.04E+02,"Hopcroft et al., 2005",2.06E+05,2.06E+05,2.06E+05,,Carnivorous,5.56E+09,5.56E+09,5.56E+09,5.56E+09,,,,,,,,,,,,,
