Station_x,Date,Longitude ,Latitude ,Prof,Temp,Sal,Station,Bottle,Depth ,Nitrite_umol_l ,Nitrate_umol_l ,Silicate_umol_l,Phosphate_umol_l ,NH4_umol_l,Urée_umol_l,POC_Mean_umol_L,POC_Std,NOP_Mean_umol_l ,NOP_Std,PP_mean_ugC_L_day,PP_Std,rNO3_nmol_l_day,ruree_nmol_l_day,rNH4,regNH4_nM_day,rNO3_nM_day,DONH4ex_nMol_day,f ratio,NewPP,,,,,,,,,
4,2009-06-16,303.21,68.499,1.886,0.8462,33.4807,G100,19,2,0.02,0.03,1.53,0.11,0.03,0.57,13.24,1.87,1.63,0.09,3.62,0.57,80.12,145.62,162.5,24.6,10.07,16.79,0.18,0.65,,,,,,,,,
4,2009-06-16,303.21,68.499,20.135,0.8087,33.4858,G100,16,20,0.02,0.02,0.97,0.1,0.02,0.57,14.88,0.63,1.82,0.3,2.35,0.59,52.69,55.84,116.16,11.25,8.48,18.79,0.2,0.46,,,,,,,,,
4,2009-06-16,303.21,68.499,30.328,-0.0727,33.5697,G100,14,30,0.05,1.1,2.35,0.22,0.15,0.51,25.01,3.47,3.23,0.36,9.27,0.83,195.7,70.74,196.42,43.29,19.42,26.25,0.38,3.53,,,,,,,,,
4,2009-06-16,303.21,68.499,34.421,-1.2285,33.6159,G100,12,35,0.14,6.23,5.26,0.6,0.32,0.43,16.91,2.6,2.08,0.1,3.81,0.57,116.59,21.46,60.39,1.21,18.63,10.57,0.49,1.88,,,,,,,,,
4,2009-06-16,303.21,68.499,40.386,-1.5502,33.6386,G100,9,40,0.15,7.89,6.07,0.71,0.34,0.45,11.33,1.41,1.37,0.16,4.12,0.8,126.09,17.33,65.7,3.01,14.07,7.06,0.54,2.2,,,,,,,,,
4,2009-06-16,303.21,68.499,54.646,-1.6095,33.6691,G100,7,55,0.17,9.16,6.95,0.82,0.2,0.47,4.66,0.88,0.53,0.04,0.22,0.22,88.15,6.34,13.77,-0.37,11.89,3.63,0.7,0.15,,,,,,,,,
7,2010-06-16,302.521,68.497,15.135,0.1293,33.4784,G102,19,1,0.021,0.038,2.096,0.152,0.07,0.43,24.36,3.06,3.14,0.62,13.51,1.87,83,100.28,161.35,11.3,6.42,164.39,0.22,3,,,,,,,,,
7,2010-06-16,302.521,68.497,20.472,0.1606,33.4951,G102,17,15,0.031,0.011,1.679,0.144,0.02,0.43,22.37,3.02,2.19,0.6,11.09,2.08,36.19,99.17,109.27,46.62,4.27,70.45,0.13,1.45,,,,,,,,,
7,2010-06-16,302.521,68.497,30.22,0.2528,33.5152,G102,15,20,0.02,0,1.566,0.143,0.02,0.49,26.28,3.69,3.18,0.44,10.32,3.57,54.53,50.62,123.84,99.63,8.42,44.68,0.2,2.08,,,,,,,,,
7,2010-06-16,302.521,68.497,30.169,0.1763,33.4963,G102,13,30,0.045,1.116,1.874,0.245,0.17,0.45,21.78,0.67,3.3,0.39,5.42,1.6,117.75,35,163.74,39.97,11.68,155.73,0.34,1.82,,,,,,,,,
7,2010-06-16,302.521,68.497,60.457,-1.2071,33.7365,G102,9,40,0.166,9.508,6.705,0.786,0.26,0.43,7.92,2.18,1.16,0.12,3.17,0.32,39.94,12.86,39.83,50.22,17.57,19.92,0.24,0.77,,,,,,,,,
7,2010-06-16,302.521,68.497,60.467,-1.2037,33.7373,G102,7,60,0.154,9.629,6.757,0.824,0.26,0.37,5.61,1.17,1,0.18,0.14,0.14,16.6,7.21,22.46,8.97,15.31,33.04,0.03,0,,,,,,,,,
13,2011-06-16,300.821,68.498,0.972,-1.6711,32.6899,G107,24,1,0.114,1.61,4.142,0.32,0.1,0.37,27.88,1.12,3.82,0.1,56.46,1.59,545.84,57.44,213.54,61.27,13.56,21.97,0.65,36.8,,,,,,,,,
13,2011-06-16,300.821,68.498,10.004,-1.6847,32.7037,G107,19,10,0.063,1.706,3.689,0.325,0.08,0.37,26.45,0.96,3.72,0.16,55.1,4.59,562.41,72.38,221.66,72.56,14.01,19.85,0.64,35.28,,,,,,,,,
13,2011-06-16,300.821,68.498,14.953,-1.6848,32.7288,G107,17,15,0.061,2.559,3.992,0.388,0.12,0.31,20.78,1.08,2.93,0.26,30.85,3.62,203.89,50.61,212.06,13.39,11.72,14.59,0.41,12.71,,,,,,,,,
13,2011-06-16,300.821,68.498,22.793,-1.6605,33.354,G107,13,23,0.071,5.853,5.93,0.629,0.13,0.41,9.67,4.37,1.49,0.27,10.01,0.51,44.89,19.74,101.07,17.67,7.47,5.49,0.23,2.26,,,,,,,,,
