DAY,Date,Depth,POC_umolC_L,PON_umolN_L,PP_ugC_L_day,dilution_factor,POC_Umol_C_L_diluted,PON_umolN_L_diluted,PP_ugC_L_day_diluted
137,2016-05-16,ice,14.67,1.41,0.34,0.041,357.77,34.35,8.37
139,2016-05-18,ice,47.77,7.46,10.66,0.052,918.62,143.46,204.98
141,2016-05-20,ice,28.6,4.53,6.38,0.053,539.63,85.48,120.35
144,2016-05-23,ice,84.07,11.17,12.3,0.067,1254.81,166.78,183.57
146,2016-05-25,ice,39.5,5.05,1.3,0.067,589.51,75.37,19.42
148,2016-05-27,ice,67.6,7.93,4.96,0.076,889.46,104.4,65.32
151,2016-05-30,ice,38.55,7.71,6.19,0.057,676.36,135.19,108.56
153,2016-06-01,ice,113.81,10.43,10.68,0.068,1673.66,153.45,157.03
155,2016-06-03,ice,54.06,6.79,6.03,0.068,795.03,99.91,88.64
158,2016-06-06,ice,96.54,13.2,8.34,0.059,1636.19,223.81,141.29
160,2016-06-08,ice,131.94,11.87,19.98,0.059,2236.2,201.16,338.64
162,2016-06-10,ice,109.04,9.07,16.55,0.059,1848.09,153.75,280.55
165,2016-06-13,ice,116.91,6.83,63.88,0.059,1981.55,115.78,1082.64
167,2016-06-17,ice,97.72,6.81,18.62,0.059,1656.24,115.4,315.55
172,2016-06-20,ice,41.51,2.68,3.38,0.059,703.49,45.48,57.36
175,2016-06-23,ice,13.99,2.35,1.53,0.059,237.19,39.87,26
179,2016-06-27,ice,44.26,2.4,8.31,0.06,741.07,40.15,139.2
181,2016-06-29,ice,15.88,1.49,3.51,0.017,923.12,86.41,203.99
183,2016-07-01,ice,8.55,0.66,1.39,0.061,140.14,10.85,22.73
186,2016-07-04,ice,25.05,1.63,22.3,0.033,759.03,49.48,675.72
188,2016-07-06,ice,17.14,0.73,5.98,0.063,272.08,11.58,94.85
190,2016-07-08,ice,13.26,1.42,3.82,0.024,552.43,59.15,159.03
137,2016-05-16,0.5,3.43,0.24,0.05,,,,
139,2016-05-18,0.5,3.84,0.58,0.22,,,,
141,2016-05-20,0.5,2.83,0.36,0.09,,,,
144,2016-05-23,0.5,2.68,0.26,0.07,,,,
146,2016-05-25,0.5,6.36,1,0.38,,,,
148,2016-05-27,0.5,2.29,0.24,0.06,,,,
151,2016-05-30,0.5,5.71,0.27,0.4,,,,
153,2016-06-01,0.5,3.35,0.4,0.29,,,,
155,2016-06-03,0.5,2.76,0.33,0.14,,,,
158,2016-06-06,0.5,4.19,0.52,0.57,,,,
160,2016-06-08,0.5,4.54,0.6,0.31,,,,
162,2016-06-08,0.5,3.75,0.6,0.71,,,,
165,2016-06-13,0.5,6.31,0.6,2.3,,,,
167,2016-06-17,0.5,4.78,0.61,2,,,,
169,2016-06-17,0.5,4.01,0.59,1.91,,,,
172,2016-06-20,0.5,3.78,0.43,2.9,,,,
175,2016-06-23,0.5,,,,,,,
176,2016-06-24,0.5,16.98,1.69,17.23,,,,
179,2016-06-27,0.5,15.95,2.2,15.51,,,,
181,2016-06-29,0.5,17.88,2.03,19.58,,,,
183,2016-07-01,0.5,14.29,1.97,23.95,,,,
186,2016-07-04,0.5,23.35,2.87,48.32,,,,
188,2016-07-06,0.5,19.71,1.37,24.74,,,,
190,2016-07-08,0.5,24.76,2.74,8.18,,,,
137,2016-05-16,1.5,6.61,0.58,0.07,,,,
139,2016-05-18,1.5,5.48,0.77,0.18,,,,
141,2016-05-20,1.5,5.63,0.57,0.09,,,,
144,2016-05-23,1.5,7.46,1.07,0.09,,,,
146,2016-05-25,1.5,9.33,1.18,0.39,,,,
148,2016-05-27,1.5,5.3,0.8,0.12,,,,
151,2016-05-30,1.5,7.91,0.55,0.45,,,,
153,2016-06-01,1.5,7.5,1.05,0.2,,,,
155,2016-06-03,1.5,9.67,1.37,1.23,,,,
158,2016-06-06,1.5,5.81,0.72,0.98,,,,
160,2016-06-08,1.5,6.31,0.81,0.79,,,,
162,2016-06-08,1.5,5.52,0.68,0.98,,,,
165,2016-06-13,1.5,7.71,1.13,2.31,,,,
167,2016-06-17,1.5,8.89,1.09,1.86,,,,
169,2016-06-17,1.5,5.28,0.65,2.1,,,,
172,2016-06-20,1.5,8.37,0.76,3.23,,,,
175,2016-06-23,1.5,13.68,2.3,1.49,,,,
176,2016-06-24,1.5,13.85,2.19,11.73,,,,
179,2016-06-27,1.5,16.45,2.18,13.97,,,,
181,2016-06-29,1.5,19.23,2.57,29.6,,,,
183,2016-07-01,1.5,17.48,2.04,19.77,,,,
186,2016-07-04,1.5,26.93,3.16,60.02,,,,
188,2016-07-06,1.5,24.67,2.1,42.22,,,,
190,2016-07-08,1.5,14.8,2,7.01,,,,
137,2016-05-16,5,5.64,0.72,0.08,,,,
141,2016-05-20,5,3.44,0.48,0.05,,,,
144,2016-05-23,5,7.56,1.25,0.06,,,,
146,2016-05-25,5,7.74,1.14,0.4,,,,
148,2016-05-27,5,5.47,0.72,0.12,,,,
151,2016-05-30,5,6.21,0.45,0.42,,,,
153,2016-06-01,5,3.61,0.53,0.18,,,,
155,2016-06-03,5,4.95,0.71,0.37,,,,
158,2016-06-06,5,4.72,0.56,0.42,,,,
160,2016-06-08,5,4.35,0.58,0.53,,,,
162,2016-06-08,5,4.31,0.63,0.81,,,,
165,2016-06-13,5,10.13,1.53,1.86,,,,
167,2016-06-17,5,5.96,0.85,1.5,,,,
169,2016-06-17,5,4.46,0.59,2.04,,,,
172,2016-06-20,5,4.87,0.52,3.2,,,,
175,2016-06-23,5,13.68,2.3,1.49,,,,
176,2016-06-24,5,10.59,1.57,9.58,,,,
139,2016-05-18,10,5.6,1.05,0.14,,,,
175,2016-06-23,10,13.68,2.3,1.49,,,,
176,2016-06-24,10,10.68,1.55,5.77,,,,
179,2016-06-27,10,16.57,2.53,7.09,,,,
181,2016-06-29,10,23.94,3.1,26.67,,,,
183,2016-07-01,10,16.94,2.67,16.08,,,,
186,2016-07-04,10,21.63,3.17,30.14,,,,
188,2016-07-06,10,22.03,2.16,20.45,,,,
190,2016-07-08,10,31.52,3.61,14.74,,,,
137,2016-05-16,20,4.18,0.51,0.06,,,,
139,2016-05-18,20,5.4,0.75,0.16,,,,
141,2016-05-20,20,3.6,0.55,0.02,,,,
144,2016-05-23,20,5.57,0.89,0.04,,,,
146,2016-05-25,20,7.68,1.16,0.4,,,,
148,2016-05-27,20,4.14,0.66,0.08,,,,
151,2016-05-30,20,7.69,0.57,0.42,,,,
