"","station","pacif_prop","Station Type","class"
"1","G100",13.9,"Full","lw"
"2","G102",15.8,"Full","lw"
"3","G207",11.3,"CTD","lw"
"4","G300",0,"Full","lw"
"5","G309",14.5,"Full","lw"
"6","G413",12,"Full","lw"
"7","G418",9.6,"Full","lw"
"8","G503",0,"Basic","lw"
"9","G507",0,"Full","lw"
"10","G512",7.9,"Full","lw"
"11","G512",2.7,"Full","lw"
"12","G615",18.1,"Full","lw"
"13","G703",18.8,"Full","lw"
"14","G110",30.7,"Full","up"
"15","G115",57.4,"Full","up"
"16","G201",31.5,"Full","up"
"17","G204",32.3,"Full","up"
"18","G312",27.7,"Full","up"
"19","G318",26.2,"Full","up"
"20","G324",42.3,"Full","up"
"21","G403",49.8,"Full","up"
"22","G409",25.5,"Full","up"
"23","G519",29.7,"Full","up"
"24","G600",51.4,"Full","up"
"25","G605",30.1,"NUT","up"
"26","G605",30,"NUT","up"
"27","G604.5",42.6,"Full","up"
"28","G713",29.4,"Full","up"
"29","G719",58.7,"Full","up"
